wkt,latitude,longitude
249,3956.3696N,11624.1562E
248,3956.3695N,11624.1563E
248,3956.3694N,11624.1564E
248,3956.3693N,11624.1564E
248,3956.3693N,11624.1565E
249,3956.3691N,11624.1566E
250,3956.3691N,11624.1566E
251,3956.369N,11624.1567E
251,3956.3689N,11624.1567E
257,3956.3688N,11624.1567E
262,3956.3686N,11624.1568E
262,3956.3686N,11624.1568E
262,3956.3685N,11624.1568E
261,3956.3685N,11624.1568E
261,3956.3685N,11624.1568E
260,3956.3686N,11624.1567E
262,3956.3686N,11624.1568E
262,3956.3686N,11624.1568E
263,3956.3686N,11624.1568E
263,3956.3685N,11624.1568E
264,3956.3684N,11624.1568E
265,3956.3685N,11624.1566E
266,3956.3687N,11624.1565E
269,3956.3688N,11624.1564E
272,3956.3691N,11624.1562E
274,3956.3691N,11624.1562E
276,3956.3688N,11624.1564E
277,3956.3688N,11624.1564E
278,3956.369N,11624.1563E
278,3956.3692N,11624.1562E
277,3956.3694N,11624.156E
276,3956.3698N,11624.1558E
275,3956.3703N,11624.1555E
274,3956.3707N,11624.1552E
274,3956.371N,11624.155E
274,3956.371N,11624.155E
274,3956.371N,11624.1549E
273,3956.3706N,11624.1552E
272,3956.3702N,11624.1555E
272,3956.3698N,11624.1556E
271,3956.3695N,11624.1558E
271,3956.3695N,11624.1557E
270,3956.369N,11624.156E
270,3956.369N,11624.1559E
270,3956.369N,11624.1559E
269,3956.369N,11624.1558E
269,3956.3692N,11624.1556E
268,3956.3694N,11624.1555E
268,3956.3692N,11624.1555E
267,3956.3691N,11624.1555E
267,3956.3691N,11624.1555E
266,3956.3693N,11624.1554E
266,3956.3694N,11624.1554E
266,3956.3694N,11624.1554E
266,3956.3693N,11624.1555E
266,3956.3691N,11624.1558E
266,3956.369N,11624.1559E
266,3956.3691N,11624.1559E
267,3956.369N,11624.1558E
268,3956.3688N,11624.1559E
267,3956.3687N,11624.1559E
267,3956.3691N,11624.1556E
266,3956.3691N,11624.1554E
266,3956.3693N,11624.1551E
266,3956.3695N,11624.1549E
266,3956.3697N,11624.1546E
266,3956.3698N,11624.1539E
266,3956.3701N,11624.1531E
266,3956.3702N,11624.1524E
266,3956.3704N,11624.1518E
265,3956.3707N,11624.1513E
265,3956.3709N,11624.151E
265,3956.3709N,11624.1509E
265,3956.3709N,11624.1507E
265,3956.3713N,11624.1505E
265,3956.3714N,11624.1503E
264,3956.3715N,11624.1502E
264,3956.3719N,11624.1499E
263,3956.3721N,11624.1498E
263,3956.3722N,11624.1497E
263,3956.3723N,11624.1498E
263,3956.3722N,11624.1498E
262,3956.3722N,11624.1499E
262,3956.3721N,11624.1501E
262,3956.3721N,11624.1502E
262,3956.372N,11624.1502E
262,3956.3723N,11624.15E
261,3956.3725N,11624.1499E
261,3956.3725N,11624.1498E
262,3956.3724N,11624.1498E
262,3956.3721N,11624.15E
262,3956.3715N,11624.1504E
262,3956.371N,11624.1507E
262,3956.3706N,11624.1508E
262,3956.3704N,11624.1509E
262,3956.3701N,11624.151E
262,3956.3698N,11624.151E
262,3956.3695N,11624.1511E
262,3956.3692N,11624.1512E
262,3956.3689N,11624.1514E
261,3956.3686N,11624.1516E
260,3956.3683N,11624.1518E
260,3956.368N,11624.152E
259,3956.3679N,11624.1521E
259,3956.3678N,11624.1522E
258,3956.3676N,11624.1523E
257,3956.3676N,11624.1523E
257,3956.3675N,11624.1524E
256,3956.3674N,11624.1524E
256,3956.3672N,11624.1526E
255,3956.3675N,11624.1523E
255,3956.368N,11624.1517E
254,3956.3683N,11624.151E
253,3956.3684N,11624.1505E
253,3956.3686N,11624.15E
252,3956.3687N,11624.1494E
252,3956.3687N,11624.149E
252,3956.3688N,11624.1486E
252,3956.369N,11624.1484E
251,3956.3691N,11624.1483E
251,3956.3692N,11624.1482E
251,3956.3691N,11624.1483E
251,3956.3691N,11624.1483E
251,3956.3693N,11624.1481E
250,3956.3697N,11624.1477E
250,3956.3699N,11624.1476E
250,3956.3702N,11624.1474E
250,3956.3705N,11624.1472E
250,3956.371N,11624.1469E
249,3956.3712N,11624.1467E
249,3956.371N,11624.1468E
249,3956.3709N,11624.1464E
249,3956.3711N,11624.1454E
249,3956.3714N,11624.1447E
248,3956.3715N,11624.1441E
248,3956.3714N,11624.1435E
248,3956.3714N,11624.1427E
248,3956.3714N,11624.1417E
248,3956.371N,11624.141E
248,3956.3705N,11624.1402E
247,3956.3702N,11624.1392E
246,3956.3697N,11624.1383E
245,3956.3693N,11624.1372E
245,3956.3689N,11624.1362E
244,3956.3684N,11624.1352E
245,3956.3679N,11624.1342E
244,3956.3676N,11624.1332E
244,3956.3671N,11624.1321E
244,3956.3667N,11624.1312E
245,3956.3665N,11624.13E
246,3956.3663N,11624.1289E
247,3956.3662N,11624.1276E
245,3956.3661N,11624.1263E
243,3956.3664N,11624.1251E
241,3956.3667N,11624.1237E
240,3956.3666N,11624.1222E
239,3956.3664N,11624.1206E
239,3956.3663N,11624.1188E
240,3956.3665N,11624.1166E
240,3956.3666N,11624.1147E
240,3956.3666N,11624.1128E
240,3956.3669N,11624.1107E
240,3956.367N,11624.1085E
242,3956.367N,11624.1066E
244,3956.367N,11624.1046E
244,3956.3669N,11624.1026E
245,3956.3667N,11624.1006E
245,3956.3667N,11624.0985E
246,3956.3667N,11624.0964E
248,3956.3668N,11624.0942E
249,3956.367N,11624.0919E
249,3956.3672N,11624.0896E
250,3956.3678N,11624.0871E
251,3956.3679N,11624.0848E
251,3956.3683N,11624.0823E
252,3956.3684N,11624.0801E
252,3956.3682N,11624.0779E
252,3956.368N,11624.0759E
253,3956.3678N,11624.074E
253,3956.3675N,11624.072E
254,3956.3675N,11624.0697E
256,3956.3675N,11624.0675E
257,3956.3673N,11624.0658E
258,3956.3672N,11624.0641E
258,3956.367N,11624.0626E
258,3956.367N,11624.0609E
257,3956.367N,11624.059E
256,3956.367N,11624.0569E
256,3956.3671N,11624.0546E
256,3956.367N,11624.0525E
255,3956.3664N,11624.0506E
253,3956.3661N,11624.0486E
253,3956.3657N,11624.0467E
252,3956.3653N,11624.0448E
251,3956.3651N,11624.0427E
251,3956.3649N,11624.0406E
251,3956.3649N,11624.0382E
252,3956.3651N,11624.0357E
254,3956.3651N,11624.0337E
256,3956.3654N,11624.0319E
257,3956.3653N,11624.0305E
258,3956.365N,11624.0295E
258,3956.3647N,11624.0284E
258,3956.3646N,11624.0272E
259,3956.3647N,11624.0259E
259,3956.3644N,11624.0243E
259,3956.3644N,11624.0226E
259,3956.3641N,11624.0208E
260,3956.3637N,11624.0187E
258,3956.3636N,11624.0168E
257,3956.3635N,11624.0146E
258,3956.3636N,11624.0125E
257,3956.3635N,11624.0104E
258,3956.3638N,11624.0078E
258,3956.3635N,11624.0056E
259,3956.3635N,11624.0033E
260,3956.3634N,11624.001E
260,3956.3636N,11623.9985E
261,3956.3635N,11623.9962E
261,3956.3633N,11623.9939E
262,3956.3633N,11623.9918E
262,3956.3634N,11623.9896E
262,3956.3638N,11623.9874E
262,3956.3636N,11623.9856E
262,3956.3636N,11623.9838E
262,3956.3637N,11623.9819E
261,3956.3639N,11623.9799E
259,3956.3641N,11623.9777E
259,3956.3642N,11623.9755E
258,3956.3641N,11623.9734E
257,3956.3643N,11623.9712E
256,3956.3641N,11623.9692E
256,3956.3639N,11623.9671E
257,3956.3637N,11623.9651E
257,3956.3639N,11623.9632E
258,3956.3641N,11623.9612E
258,3956.3642N,11623.9595E
259,3956.3643N,11623.9577E
260,3956.3645N,11623.956E
260,3956.3643N,11623.9545E
261,3956.3639N,11623.9531E
263,3956.3638N,11623.9516E
265,3956.3639N,11623.95E
268,3956.364N,11623.9486E
269,3956.3642N,11623.9473E
270,3956.3646N,11623.9459E
270,3956.3651N,11623.9445E
270,3956.3655N,11623.9436E
270,3956.3658N,11623.9432E
270,3956.3661N,11623.9429E
269,3956.3664N,11623.9425E
269,3956.3666N,11623.9423E
268,3956.3669N,11623.942E
268,3956.3673N,11623.9418E
268,3956.3676N,11623.9415E
269,3956.3677N,11623.9412E
269,3956.3678N,11623.9409E
269,3956.3679N,11623.9407E
268,3956.368N,11623.9408E
268,3956.3682N,11623.9408E
269,3956.3684N,11623.9406E
269,3956.3686N,11623.9404E
270,3956.3687N,11623.94E
270,3956.3688N,11623.9398E
270,3956.3689N,11623.9396E
270,3956.369N,11623.9393E
270,3956.3692N,11623.9392E
269,3956.3693N,11623.9391E
269,3956.3693N,11623.9392E
269,3956.3694N,11623.9391E
269,3956.3695N,11623.939E
269,3956.3696N,11623.9389E
269,3956.3696N,11623.9389E
269,3956.3696N,11623.9389E
268,3956.3696N,11623.9388E
268,3956.3697N,11623.9386E
268,3956.3697N,11623.9384E
267,3956.3698N,11623.9381E
267,3956.37N,11623.938E
266,3956.3701N,11623.9379E
266,3956.3701N,11623.9379E
266,3956.3702N,11623.9379E
265,3956.3704N,11623.9378E
265,3956.3704N,11623.9377E
264,3956.3704N,11623.9376E
264,3956.3704N,11623.9374E
264,3956.3705N,11623.9374E
264,3956.3705N,11623.9372E
263,3956.3706N,11623.9372E
263,3956.3706N,11623.9373E
263,3956.3707N,11623.9375E
262,3956.3708N,11623.9377E
261,3956.3709N,11623.9378E
261,3956.3709N,11623.9379E
261,3956.3709N,11623.938E
261,3956.3709N,11623.9379E
260,3956.3709N,11623.9378E
260,3956.3709N,11623.9379E
259,3956.3708N,11623.9381E
259,3956.3708N,11623.9384E
259,3956.3709N,11623.9385E
258,3956.371N,11623.9387E
258,3956.371N,11623.9389E
258,3956.371N,11623.9391E
257,3956.371N,11623.9393E
257,3956.371N,11623.9392E
257,3956.3709N,11623.9391E
257,3956.3708N,11623.939E
256,3956.3707N,11623.9389E
256,3956.3706N,11623.9389E
256,3956.3705N,11623.9389E
256,3956.3704N,11623.9389E
256,3956.3703N,11623.9389E
256,3956.3703N,11623.939E
255,3956.3702N,11623.939E
255,3956.3701N,11623.939E
255,3956.3701N,11623.939E
255,3956.37N,11623.9389E
255,3956.3699N,11623.9387E
255,3956.3698N,11623.9387E
255,3956.3698N,11623.9388E
254,3956.3699N,11623.9389E
254,3956.37N,11623.939E
254,3956.37N,11623.9391E
254,3956.37N,11623.9392E
253,3956.3701N,11623.9393E
253,3956.3701N,11623.9394E
253,3956.3702N,11623.9394E
253,3956.3703N,11623.9395E
253,3956.3703N,11623.9395E
253,3956.3704N,11623.9395E
252,3956.3705N,11623.9396E
252,3956.3705N,11623.9396E
252,3956.3706N,11623.9396E
252,3956.3707N,11623.9396E
252,3956.3706N,11623.9396E
252,3956.3706N,11623.9397E
252,3956.3706N,11623.9398E
252,3956.3706N,11623.9398E
252,3956.3706N,11623.9399E
252,3956.3707N,11623.94E
252,3956.3708N,11623.94E
251,3956.3708N,11623.94E
251,3956.3708N,11623.94E
251,3956.3708N,11623.94E
251,3956.3709N,11623.94E
251,3956.3709N,11623.9399E
251,3956.3709N,11623.9398E
251,3956.3709N,11623.9397E
251,3956.3709N,11623.9397E
251,3956.371N,11623.9398E
251,3956.371N,11623.9399E
251,3956.371N,11623.9399E
251,3956.3709N,11623.9399E
251,3956.3709N,11623.9399E
251,3956.3709N,11623.9398E
250,3956.3709N,11623.9398E
250,3956.3708N,11623.9397E
250,3956.3707N,11623.9397E
252,3956.3707N,11623.9395E
253,3956.3706N,11623.9394E
254,3956.3706N,11623.9393E
255,3956.3705N,11623.9392E
256,3956.3705N,11623.9391E
258,3956.3704N,11623.9389E
258,3956.3704N,11623.9387E
259,3956.3703N,11623.9385E
258,3956.3702N,11623.9384E
257,3956.3702N,11623.9383E
257,3956.3701N,11623.9382E
258,3956.3701N,11623.9382E
258,3956.3701N,11623.9381E
257,3956.3701N,11623.9381E
258,3956.3701N,11623.9381E
258,3956.3701N,11623.938E
259,3956.37N,11623.9379E
260,3956.37N,11623.9378E
260,3956.37N,11623.9378E
260,3956.37N,11623.9378E
260,3956.37N,11623.9378E
261,3956.37N,11623.9378E
261,3956.37N,11623.9378E
261,3956.37N,11623.9378E
261,3956.37N,11623.9379E
261,3956.37N,11623.9378E
261,3956.37N,11623.9378E
260,3956.3699N,11623.9377E
259,3956.3699N,11623.9377E
259,3956.3699N,11623.9376E
259,3956.3698N,11623.9373E
258,3956.3698N,11623.9371E
258,3956.3697N,11623.937E
257,3956.3697N,11623.9369E
257,3956.3697N,11623.9367E
256,3956.3697N,11623.9365E
256,3956.3697N,11623.9364E
256,3956.3697N,11623.9364E
255,3956.3697N,11623.9364E
255,3956.3697N,11623.9365E
255,3956.3696N,11623.9365E
255,3956.3696N,11623.9366E
254,3956.3695N,11623.9367E
254,3956.3695N,11623.9367E
254,3956.3695N,11623.9367E
254,3956.3695N,11623.9366E
253,3956.3694N,11623.9364E
253,3956.3694N,11623.9363E
253,3956.3693N,11623.9362E
252,3956.3692N,11623.9361E
252,3956.3691N,11623.936E
252,3956.369N,11623.9359E
