'Lat','Long',
3956.3698,11624.3485,240
3956.3696,11624.3467,242
3956.3692,11624.3449,243
3956.3691,11624.3429,244
3956.3692,11624.3409,245
3956.3694,11624.3388,245
3956.3697,11624.3366,245
3956.3696,11624.3345,246
3956.3697,11624.3322,246
3956.3696,11624.33,246
3956.3692,11624.328,248
3956.3691,11624.3258,251
3956.369,11624.3236,252
3956.3691,11624.3212,254
3956.3692,11624.3188,254
3956.3694,11624.3163,255
3956.3694,11624.3139,256
3956.3696,11624.3113,257
3956.3695,11624.3089,258
3956.3695,11624.3063,258
3956.3691,11624.3038,258
3956.3689,11624.3015,257
3956.3689,11624.2992,257
3956.3692,11624.2969,258
3956.3694,11624.2945,257
3956.3695,11624.292,256
3956.3695,11624.2897,255
3956.3696,11624.2875,253
3956.3697,11624.2855,252
3956.3699,11624.2836,251
3956.3703,11624.2816,249
3956.3704,11624.2795,250
3956.3704,11624.2774,248
3956.3703,11624.2752,247
3956.3703,11624.2729,248
3956.3703,11624.2706,248
3956.3704,11624.2683,248
3956.3704,11624.2661,250
3956.3704,11624.2638,249
3956.3705,11624.2615,250
3956.3706,11624.2592,253
3956.3706,11624.2569,254
3956.3708,11624.2545,254
3956.3708,11624.2522,255
3956.3709,11624.2499,256
3956.3711,11624.2475,254
3956.3713,11624.245,252
3956.3715,11624.2425,251
3956.3717,11624.2401,250
3956.3717,11624.2378,248
3956.3715,11624.2356,249
3956.3713,11624.2335,252
3956.3712,11624.2315,253
3956.3711,11624.2296,249
3956.3711,11624.2276,250
3956.371,11624.2257,251
3956.3707,11624.2238,252
3956.3703,11624.2219,251
3956.3701,11624.2201,249
3956.3699,11624.2183,249
3956.3698,11624.2164,247
3956.3698,11624.2145,247
3956.3699,11624.2125,248
3956.3701,11624.2105,249
3956.3701,11624.2085,247
3956.3702,11624.2064,247
3956.3703,11624.2043,247
3956.3703,11624.2022,247
3956.3704,11624.2001,247
3956.3705,11624.1981,249
3956.3705,11624.1963,251
3956.3706,11624.1946,253
3956.3706,11624.193,255
3956.3706,11624.1913,257
3956.3707,11624.1895,259
3956.3707,11624.1875,260
3956.3706,11624.1857,261
3956.3705,11624.1838,262
3956.3704,11624.1818,262
3956.3707,11624.1798,261
3956.3709,11624.1778,261
3956.3709,11624.1757,261
3956.371,11624.1736,261
3956.371,11624.1715,262
3956.3713,11624.1695,262
3956.3714,11624.1676,263
3956.3715,11624.1658,262
3956.3716,11624.1641,262
3956.3717,11624.1624,262
3956.3718,11624.1608,262
3956.3718,11624.1593,261
3956.3718,11624.1578,261
3956.3718,11624.1565,262
3956.3718,11624.1554,262
3956.372,11624.1545,261
3956.3722,11624.1541,261
3956.3723,11624.154,261
3956.3723,11624.154,261
3956.3722,11624.154,260
3956.3723,11624.1538,260
3956.3723,11624.1538,260
3956.3723,11624.1538,259
3956.3723,11624.1538,259
3956.3723,11624.1538,258
3956.3723,11624.1538,258
3956.3724,11624.1538,257
3956.3724,11624.1538,257
3956.3725,11624.1538,256
3956.3725,11624.1538,256
3956.3727,11624.1537,255
3956.3728,11624.1536,255
3956.3727,11624.1537,254
3956.3725,11624.1538,254
3956.3724,11624.1539,254
3956.3724,11624.154,253
3956.3722,11624.1541,253
3956.3721,11624.1542,253
3956.3719,11624.1543,252
3956.3718,11624.1544,252
3956.3717,11624.1545,252
3956.3717,11624.1546,252
3956.3716,11624.1547,252
3956.3716,11624.1548,251
3956.3715,11624.1549,251
3956.3715,11624.1549,251
3956.3713,11624.155,251
3956.3712,11624.1551,251
3956.3711,11624.1552,250
3956.371,11624.1553,250
3956.3709,11624.1554,250
3956.3709,11624.1554,250
3956.3709,11624.1555,250
3956.3708,11624.1556,250
3956.3706,11624.1557,249
3956.3704,11624.1558,249
3956.3701,11624.1559,249
3956.37,11624.156,249
3956.3698,11624.1561,249
3956.3696,11624.1562,249
3956.3695,11624.1563,248
3956.3694,11624.1564,248
3956.3693,11624.1564,248
